ocid,source_month,n_releases_in_record,buyer_id,buyer_name,buyer_department_raw,tender_title,tender_description,procurement_method,procurement_method_details,main_category,tender_value_amount,tender_currency,tender_date_published,num_tenderers,is_single_bidder_award,num_awards,award_value_amount,award_currency,winning_suppliers,encoding_fixed,buyer_department,department_is_valid
ocds-dgv273-seacev3-1187412,2026-07,4,PE-CONSUCODE-204672,"CREACION Y MEJORAMIENTO DEL SERVICIO DE CATASTRO EN DISTRITOS SELECCIONADOS DE LAS PROVINCIAS DE LIMA, LAMBAYEQUE, CHICLAYO Y PIURA",LIMA,CONV-PROC-16-2026-UE003-CI-LT6-1,"COORDINADOR DE SISTEMAS, EN EL MARCO DEL CONVENIO ENTRE ICL Y LA UE003 ¿ COFOPRI",open,Convenio,services,5600.0,PEN,2026-08-13T17:40:00-05:00,3,False,1,5600.0,PEN,VILLAFUERTE SOTELO JEAN CARLOS,False,LIMA,True
ocds-dgv273-seacev3-1200987,2026-08,7,PE-CONSUCODE-859,MUNICIPALIDAD DISTRITAL DE ACORIA,HUANCAVELICA,LP-ABR-1-2026-MDA/CS-1,EJECUCION DE LA OBRA:CREACIÓN DEL SERVICIO DE AGUA POTABLE RURAL Y CREACIÓN DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN EL SECTOR CHECCE DE LA COMUNIDAD CAMPESINA DE MACHOERA DEL CENTRO POBLADO DE UNION MANTARO DEL DISTRITO DE ACORIA DE LA PROVINCIA DE HUANC,,Licitación Pública Abreviada,works,603426.19,PEN,2026-08-13T19:58:00-05:00,3,,0,,,,False,HUANCAVELICA,True
ocds-dgv273-seacev3-1209408,2026-07,4,PE-CONSUCODE-2543,SEGURO SOCIAL DE  SALUD,LIMA,SIE-SIE-11-2025-ESSALUD/CEABE-2,CONTRATACIÓN SUMINISTRO DE PRODUCTOS FARMACÉUTICOS PARA LOS ESTABLECIMIENTOS DE SALUD DE LAS REDES ASISTENCIALES DE ESSALUD ¿ AZTREONAM 1 G AM,open,Subasta Inversa Electrónica,goods,0.0,PEN,2026-07-01T23:13:00-05:00,0,,0,,,,False,LIMA,True
ocds-dgv273-seacev3-1210296,2026-08,13,PE-CONSUCODE-1045,MUNICIPALIDAD DISTRITAL DE PUEBLO NUEVO - CHINCHA,ICA,CP-ABR-6-2026-/CS-MDPN-1,"CONTRATACIÓN PARA LA SUPERVISIÓN DE OBRA DEL PROYECTO: ¿CREACIÓN DEL SERVICIO DE PRACTICAS DEPORTIVAS Y/O RECREATIVAS EN EL ESTADIO MUNICIPAL DEL DISTRITO DE PUEBLO NUEVO DE LA PROVINCIA DE CHINCHA DEL DEPARTAMENTO DE ICA¿, CON CUI N° 2707370.",,Concurso Público Abreviado,services,100000.0,PEN,2026-08-20T16:33:00-05:00,7,,0,,,,False,ICA,True
ocds-dgv273-seacev3-1212608,2026-07,19,PE-CONSUCODE-1309,MUNICIPALIDAD DISTRITAL DE ATE - VITARTE,LIMA,LP-ABR-22-2025-MDA/C-2,"EJECUCION DE OBRA: REPARACION DE CALZADA O PISTA; EN EL(LA) AV. BENJAMIN FRANKLIN, TRAMO AV. MICHAEL FARADAY HASTA AV. ALEXANDER FLEMING, ZONA 01, SUB ZONA 02, DISTRITO DE ATE, PROVINCIA LIMA, DEPARTAMENTO LIMA, CON CUI 2708324",,Licitación Pública Abreviada,works,1152641.39,PEN,2026-07-06T16:07:00-05:00,17,False,1,1095009.33,PEN,SIADEC INGENIEROS S.A.C.,False,LIMA,True
ocds-dgv273-seacev3-1213423,2026-08,31,PE-CONSUCODE-21,MINISTERIO DE RELACIONES EXTERIORES,LIMA,CP CON-SM-1-2026-RE-1,"CONTRATACIÓN DEL SERVICIO DE CONSULTORIA PARA LA ELABORACIÓN DEL ESTUDIO DE PREINVERSIÓN A NIVEL PERFIL DENOMINADO ""MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE INFORMACIÓN DEL MINISTERIO DE RELACIONES EXTERIORES""",,Concurso Público para Consultoría,services,0.0,PEN,2026-08-12T18:49:00-05:00,0,,0,,,,False,LIMA,True
ocds-dgv273-seacev3-1215427,2026-08,4,PE-CONSUCODE-2543,SEGURO SOCIAL DE  SALUD,LIMA,SIE-SIE-2-2025-ESSALUD/RALL-2,"CONTRATACION DE LA ADQUISICIÓN DE COMBUSTIBLE ANUAL DE DIÉSEL B5-S50 DE LAS UNIDADES VEHICULARES DE LA RED ASISTENCIAL LA LIBERTAD, CORRESPONDIENTE A LOS CENTROS ASISTENCIALES DEL GRUPO 2",open,Subasta Inversa Electrónica,goods,61400.0,PEN,2026-08-12T13:00:00-05:00,0,,0,,,,False,LIMA,True
ocds-dgv273-seacev3-1215455,2026-08,4,PE-CONSUCODE-2543,SEGURO SOCIAL DE  SALUD,LIMA,SIE-SIE-1-2025-ESSALUD/RALL-2,"CONTRATACION DE LA ADQUISICIÓN DE COMBUSTIBLE ANUAL DE DIÉSEL B5-S50 DE LAS UNIDADES VEHICULARES DE LA RED ASISTENCIAL LA LIBERTAD, CORRESPONDIENTE A LOS CENTROS ASISTENCIALES DEL GRUPO 1",open,Subasta Inversa Electrónica,goods,151200.0,PEN,2026-08-12T12:21:00-05:00,0,,0,,,,False,LIMA,True
ocds-dgv273-seacev3-1216718,2026-07,16,PE-CONSUCODE-10375,GOBIERNO REGIONAL DE AMAZONAS - DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES,AMAZONAS,SIE-SIE-2-2026-OF/C-SIE-1,ADQUISICIÓN DE ALIMENTOS PARA PROGRAMA DE COMPLEMENTO NUTRICIONAL PARA LOS SERVIDORES DE LA DIRECCIÓN REGIONAL DE TRANSPORTES Y COMUNICACIONES AMAZONAS,open,Subasta Inversa Electrónica,goods,144880.8,PEN,2026-07-06T21:21:00-05:00,12,False,1,144000.0,PEN,SOLUCIONES INTEGRALES MERELS S.A.C.S.,False,AMAZONAS,True
ocds-dgv273-seacev3-1217294,2026-07,14,PE-CONSUCODE-10214,HOSPITAL NACIONAL ARZOBISPO LOAYZA,LIMA,CP SER-SM-1-2026-HNAL-1,CONTRATACIÓN DEL SERVICIO DE BRAQUITERAPIA DE ALTA TASA DE DOSIS PARA EL HOSPITAL NACIONAL ARZOBISPO LOAYZA,,Concurso Público de Servicios,services,0.0,PEN,2026-07-14T15:58:00-05:00,0,,0,,,,False,LIMA,True
